id,game_id,name,storyline,first_release_date,follow_count,hype_count,critic_rating_value,critic_rating_count,user_rating_value,user_rating_count
25589,68992,Another War,"Another War follows the story of an adventurer involved in his own private war during World War II in Nazi-occupied Europe. 
 
The plot starts off in a small town in Nazi-occupied France, where a friend of the playable character is captured by Nazis and imprisoned in a castle near the town.",2002-09-30 00:00:00.000,NULL,NULL,NULL,NULL,NULL,NULL
26042,94264,Atomaders,NULL,2002-11-06 00:00:00.000,NULL,NULL,NULL,NULL,NULL,NULL
26084,184095,Xiao Ao Jiang Hu 2 Wai Zhuan: Dong Fong Zai Qi,NULL,2002-12-31 00:00:00.000,NULL,NULL,NULL,NULL,NULL,NULL
26209,68981,Dancing Stage Party Edition,NULL,2002-11-15 00:00:00.000,NULL,NULL,NULL,NULL,NULL,NULL
26370,70978,MusicVR Episode 1: Tr3s Lunas,NULL,2002-09-07 00:00:00.000,NULL,NULL,NULL,NULL,NULL,NULL
26668,19192,MechWarrior 4: Mercenaries,"In the game, the player takes the role of Spectre, a mercenary BattleMech pilot travelling inside the fictional interstellar region of the BattleTech universe called the Inner Sphere during the FedCom Civil War (specifically during the time period from January 1, 3066 to late July 3067). 
 
The player's mercenary company initially takes on localized threats in certain planets far from the civil war. As the player's team takes on more missions, the assignments get tougher; at one point, Spectre may challenge a Jade Falcon group led by Aisa Thastus to a duel. The Star Colonel - Aisa Thastus - will join the player's team as a bondsman if the Falcons are defeated in this mission. It is a beach-side battle that pits 8 of Spectre's best against 10 of hers. That mission can be substituted for a mission to attack the Falcons in a sneak attack where the battle is just as difficult. This direction leads to the death of Asia instead of her joining the team. 
 
Depending on how the player handled allegiance between House Steiner and House Davion, they would end up with one of two mission paths, with 3 different endings.",2002-11-07 00:00:00.000,NULL,NULL,60.0000,1,NULL,NULL
26675,78254,Decker,NULL,2002-12-02 00:00:00.000,NULL,NULL,NULL,NULL,NULL,NULL
26701,18257,The Fairly OddParents: Enter the Cleft,NULL,2002-11-04 00:00:00.000,NULL,NULL,NULL,NULL,NULL,NULL
27638,48377,Bomb Sweeper,NULL,2002-12-31 00:00:00.000,NULL,NULL,NULL,NULL,NULL,NULL
27765,10211,Space Impact 303,NULL,2002-12-31 00:00:00.000,NULL,NULL,NULL,NULL,NULL,NULL
27810,1427,Phoenix Wright: Ace Attorney − Justice for All,NULL,2002-10-22 00:00:00.000,34,NULL,80.0000,4,79.4214,141
28914,184281,Puzzle Inlay,NULL,2002-12-31 00:00:00.000,NULL,NULL,NULL,NULL,NULL,NULL
29846,50571,Knockout Kings 2003,NULL,2002-11-09 00:00:00.000,NULL,NULL,NULL,NULL,51.0000,0
30421,77094,JumpStart Advanced Preschool,NULL,2002-12-31 00:00:00.000,NULL,NULL,NULL,NULL,NULL,NULL
31014,92988,Dinosaur Resurrection,NULL,2002-12-19 00:00:00.000,NULL,NULL,NULL,NULL,NULL,NULL
31042,144860,Fisher-Price: Little People Discovery Airport,NULL,2002-12-31 00:00:00.000,NULL,NULL,NULL,NULL,NULL,NULL
31219,130306,"""Hello, world.""","Tremendous progress has been made in technical advances. Various networks have taken strongholds with each new generation. Though not nearly advanced as humans, two-legged robots are utilized in many practical areas throughout the world. Amid worldwide peace, the human race remains unchanged. 
 
Kazuki Tomonaga is a robot made by an entity called ""HIKARI"" for the purpose of ""GLOBAL ILLUMINATION"". He's created with ingenuity as precise as that of a human being. Kazuki is commanded to research the concepts of ""human emotion"". Along the way he meets various girls and has exchanges with them. In their ""exchanges"" his ""curiosity"" gradually turns into ""affection"" and his mission becomes more intense. He gradually starts to build his own philosophy, not knowing he will be forced to make crucially important decisions in the near future.",2002-09-27 00:00:00.000,NULL,NULL,NULL,NULL,NULL,NULL
31240,72181,Disney/Pixar's Monsters Inc.: Wreck Room Arcade: Monster Tag,NULL,2002-12-31 00:00:00.000,NULL,NULL,NULL,NULL,NULL,NULL
31800,122634,Higanbana,NULL,2002-12-26 00:00:00.000,NULL,NULL,NULL,NULL,NULL,NULL
31836,22369,Knight Rider: The Game,NULL,2002-11-22 00:00:00.000,NULL,NULL,40.0000,1,NULL,NULL
32198,73359,RS3: Racing Simulation Three,NULL,2002-12-05 00:00:00.000,NULL,NULL,NULL,NULL,NULL,NULL
32582,43639,NCAA Gamebreaker 2003,NULL,2002-09-12 00:00:00.000,NULL,NULL,NULL,NULL,NULL,NULL
33106,6320,BattleBots: Beyond the BattleBox,NULL,2002-12-10 00:00:00.000,NULL,NULL,NULL,NULL,NULL,NULL
33179,142566,Speed Machines,NULL,2002-09-10 00:00:00.000,NULL,NULL,NULL,NULL,NULL,NULL
33270,137890,GP Challenge,NULL,2002-11-22 00:00:00.000,NULL,NULL,NULL,NULL,NULL,NULL
33358,6477,Jazz Jackrabbit Advance,NULL,2002-12-22 00:00:00.000,NULL,NULL,NULL,NULL,NULL,NULL
33690,49530,Boboboubo Boubobo: Ougi 87.5 Bakuretsu Hanage Shinken,NULL,2002-12-19 00:00:00.000,NULL,NULL,NULL,NULL,NULL,NULL
33723,10209,Space Impact 2,NULL,2002-12-31 00:00:00.000,3,NULL,NULL,NULL,NULL,NULL
34429,78288,LEGO Creator: Harry Potter and the Chamber of Secrets,NULL,2002-12-10 00:00:00.000,NULL,NULL,NULL,NULL,NULL,NULL
34593,107595,Lilo & Stitch Pinball,"This pinball game features characters from Disney's summer hit, Lilo & Stitch. Collect cans on the beach, feed the fish, go surfing, and ultimately fly off into space to blast police spaceships. You didn't think you could do THAT with pinball, did ya?",2002-10-08 00:00:00.000,NULL,NULL,NULL,NULL,NULL,NULL
35127,78730,Chobits: Atashi Dake no Hito,NULL,2002-09-27 00:00:00.000,NULL,NULL,NULL,NULL,NULL,NULL
36408,49552,Croket! Yume no Banker Survival!,NULL,2002-11-17 00:00:00.000,NULL,NULL,NULL,NULL,NULL,NULL
37911,44908,Sports Superbike 2,NULL,2002-11-06 00:00:00.000,NULL,NULL,NULL,NULL,NULL,NULL
38287,16706,World War II: Panzer Claws,NULL,2002-11-02 00:00:00.000,NULL,NULL,NULL,NULL,50.0000,0
38327,49539,Di Gi Charat: Di Gi Communication,NULL,2002-11-25 00:00:00.000,NULL,NULL,NULL,NULL,NULL,NULL
38842,122752,Backyard Football,NULL,2002-12-31 00:00:00.000,NULL,NULL,NULL,NULL,45.0000,0
38859,46913,Castle Blast,NULL,2002-09-10 00:00:00.000,NULL,NULL,NULL,NULL,NULL,NULL
38999,124290,VeggieTales: The Mystery of Veggie Island,NULL,2002-12-31 00:00:00.000,NULL,NULL,NULL,NULL,NULL,NULL
39494,66701,WTA Tour Tennis Pocket,NULL,2002-12-31 00:00:00.000,NULL,NULL,NULL,NULL,NULL,NULL
39733,49828,Tales of the World: Narikiri Dungeon 2,NULL,2002-11-25 00:00:00.000,NULL,NULL,NULL,NULL,NULL,NULL
40251,49175,Davis Cup Tennis,NULL,2002-11-14 00:00:00.000,NULL,NULL,NULL,NULL,NULL,NULL
40654,3847,Captain Tsubasa: Ōgon Sedai no Chōsen,NULL,2002-09-12 00:00:00.000,NULL,NULL,NULL,NULL,33.0000,0
40723,6714,Baldr Force,"As a hacker of the renowned hacking group ""Steppenwolf"", Tooru Souma and his partners earn their living by hacking into servers and selling the information they steal.

As the last hacking before disbanding their group, they hacked into a military server, but soon they find this is a setup by the military to lure terrorists, and they were drawn into battle between two factions. At the end, one of Tooru Souma's friends was killed by an unknown Simulacrum, while most of other group members have been arrested. To investigate and avenge his friend's death, Tooru Souma accepted the offer to join the military.",2002-11-01 00:00:00.000,NULL,NULL,NULL,NULL,NULL,NULL
